"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"kg모빌리티","10K+","August 1, 2026 at 8:10:00 PM UTC+9",,"kg모빌리티","https://trends.google.com/trends/explore?q=kg%EB%AA%A8%EB%B9%8C%EB%A6%AC%ED%8B%B0&geo=KR&hl=en-US"
"양평군","5K+","August 3, 2026 at 8:40:00 PM UTC+9",,"양평군","https://trends.google.com/trends/explore?q=%EC%96%91%ED%8F%89%EA%B5%B0&geo=KR&hl=en-US"
"이병한","10K+","July 30, 2026 at 7:20:00 PM UTC+9",,"이병한","https://trends.google.com/trends/explore?q=%EC%9D%B4%EB%B3%91%ED%95%9C&geo=KR&hl=en-US"
"종부세 개편안","5K+","August 4, 2026 at 2:30:00 AM UTC+9",,"종부세 개편안,세제개편안,반포 자이,반포자이,종부세,이데일리","https://trends.google.com/trends/explore?q=%EC%A2%85%EB%B6%80%EC%84%B8%20%EA%B0%9C%ED%8E%B8%EC%95%88&geo=KR&hl=en-US"
"샤를리즈 테론","10K+","August 3, 2026 at 12:20:00 PM UTC+9",,"샤를리즈 테론,오디세이,맷 데이비슨,키움 히어로즈,크리스토퍼 놀란,맷 데이먼,맷데이먼","https://trends.google.com/trends/explore?q=%EC%83%A4%EB%A5%BC%EB%A6%AC%EC%A6%88%20%ED%85%8C%EB%A1%A0&geo=KR&hl=en-US"
"개인종합자산관리계좌","2K+","August 4, 2026 at 5:50:00 AM UTC+9",,"개인종합자산관리계좌","https://trends.google.com/trends/explore?q=%EA%B0%9C%EC%9D%B8%EC%A2%85%ED%95%A9%EC%9E%90%EC%82%B0%EA%B4%80%EB%A6%AC%EA%B3%84%EC%A2%8C&geo=KR&hl=en-US"
"청년","2K+","August 3, 2026 at 9:00:00 PM UTC+9",,"청년","https://trends.google.com/trends/explore?q=%EC%B2%AD%EB%85%84&geo=KR&hl=en-US"
"환급금","5K+","August 3, 2026 at 5:00:00 PM UTC+9",,"환급금","https://trends.google.com/trends/explore?q=%ED%99%98%EA%B8%89%EA%B8%88&geo=KR&hl=en-US"
"정재용","2K+","August 4, 2026 at 5:10:00 AM UTC+9",,"정재용","https://trends.google.com/trends/explore?q=%EC%A0%95%EC%9E%AC%EC%9A%A9&geo=KR&hl=en-US"
"isa 개편","20K+","August 3, 2026 at 10:50:00 PM UTC+9",,"isa 개편,상속,총소득,근로장려금","https://trends.google.com/trends/explore?q=isa%20%EA%B0%9C%ED%8E%B8&geo=KR&hl=en-US"
"이찬원","2K+","August 4, 2026 at 2:40:00 AM UTC+9",,"이찬원","https://trends.google.com/trends/explore?q=%EC%9D%B4%EC%B0%AC%EC%9B%90&geo=KR&hl=en-US"
"잭 그릴리시","2K+","August 4, 2026 at 4:50:00 AM UTC+9",,"잭 그릴리시","https://trends.google.com/trends/explore?q=%EC%9E%AD%20%EA%B7%B8%EB%A6%B4%EB%A6%AC%EC%8B%9C&geo=KR&hl=en-US"
"서울수도권","20K+","August 4, 2026 at 5:40:00 AM UTC+9",,"서울수도권,양산,폭염중대경보,열대야,디지털타임스,기상,기온,양산 날씨,부산 날씨,대구 날씨","https://trends.google.com/trends/explore?q=%EC%84%9C%EC%9A%B8%EC%88%98%EB%8F%84%EA%B6%8C&geo=KR&hl=en-US"
"유하진","20K+","August 4, 2026 at 9:10:00 AM UTC+9",,"유하진,청혼,배우","https://trends.google.com/trends/explore?q=%EC%9C%A0%ED%95%98%EC%A7%84&geo=KR&hl=en-US"
"지효","5K+","August 3, 2026 at 6:40:00 PM UTC+9",,"지효,하이브,튜이드","https://trends.google.com/trends/explore?q=%EC%A7%80%ED%9A%A8&geo=KR&hl=en-US"
"지연수","2K+","August 4, 2026 at 5:10:00 AM UTC+9",,"지연수","https://trends.google.com/trends/explore?q=%EC%A7%80%EC%97%B0%EC%88%98&geo=KR&hl=en-US"
"유산","50K+","August 3, 2026 at 9:00:00 AM UTC+9","August 4, 2026 at 9:20:00 AM UTC+9","유산","https://trends.google.com/trends/explore?q=%EC%9C%A0%EC%82%B0&geo=KR&hl=en-US"
"배당","100K+","August 3, 2026 at 5:40:00 AM UTC+9","August 4, 2026 at 10:50:00 AM UTC+9","배당","https://trends.google.com/trends/explore?q=%EB%B0%B0%EB%8B%B9&geo=KR&hl=en-US"
"화이트캡스 대 엘에이 fc","200K+","August 2, 2026 at 7:40:00 AM UTC+9","August 4, 2026 at 10:10:00 AM UTC+9","화이트캡스 대 엘에이 fc,밴쿠버 화이트캡스 fc,손흥민,로스 앤젤레스 fc,로스앤젤레스 fc,mls 올스타전,밴쿠버 화이트캡스 fc 대 로스 앤젤레스 fc,토마스 뮐러,mls 올스타","https://trends.google.com/trends/explore?q=%ED%99%94%EC%9D%B4%ED%8A%B8%EC%BA%A1%EC%8A%A4%20%EB%8C%80%20%EC%97%98%EC%97%90%EC%9D%B4%20fc&geo=KR&hl=en-US"
"암","50K+","August 3, 2026 at 8:20:00 AM UTC+9","August 4, 2026 at 10:50:00 AM UTC+9","암","https://trends.google.com/trends/explore?q=%EC%95%94&geo=KR&hl=en-US"
"편지","500+","August 4, 2026 at 7:40:00 AM UTC+9",,"편지","https://trends.google.com/trends/explore?q=%ED%8E%B8%EC%A7%80&geo=KR&hl=en-US"
"한화에어로스페이스","1K+","August 4, 2026 at 6:40:00 AM UTC+9",,"한화에어로스페이스","https://trends.google.com/trends/explore?q=%ED%95%9C%ED%99%94%EC%97%90%EC%96%B4%EB%A1%9C%EC%8A%A4%ED%8E%98%EC%9D%B4%EC%8A%A4&geo=KR&hl=en-US"
"최진실","500+","August 4, 2026 at 9:00:00 AM UTC+9",,"최진실,홍진경","https://trends.google.com/trends/explore?q=%EC%B5%9C%EC%A7%84%EC%8B%A4&geo=KR&hl=en-US"
"송아지","50K+","August 2, 2026 at 6:10:00 PM UTC+9","August 4, 2026 at 10:30:00 AM UTC+9","송아지","https://trends.google.com/trends/explore?q=%EC%86%A1%EC%95%84%EC%A7%80&geo=KR&hl=en-US"
"여에스더","50K+","August 3, 2026 at 5:10:00 PM UTC+9","August 4, 2026 at 9:00:00 AM UTC+9","여에스더","https://trends.google.com/trends/explore?q=%EC%97%AC%EC%97%90%EC%8A%A4%EB%8D%94&geo=KR&hl=en-US"
"파산","500+","August 4, 2026 at 9:20:00 AM UTC+9",,"파산","https://trends.google.com/trends/explore?q=%ED%8C%8C%EC%82%B0&geo=KR&hl=en-US"
"미국 중간선거","1K+","August 4, 2026 at 4:30:00 AM UTC+9",,"미국 중간선거","https://trends.google.com/trends/explore?q=%EB%AF%B8%EA%B5%AD%20%EC%A4%91%EA%B0%84%EC%84%A0%EA%B1%B0&geo=KR&hl=en-US"
"황정민","100K+","July 29, 2026 at 8:10:00 AM UTC+9","August 3, 2026 at 3:50:00 PM UTC+9","황정민,황정민 폭로녀,황정민 폭로,황정민 사생활,황정민 논란,황정민 녹취,덕분,황정민 디스패치,디스패치,영화,디스패치 황정민,황정민 카톡","https://trends.google.com/trends/explore?q=%ED%99%A9%EC%A0%95%EB%AF%BC&geo=KR&hl=en-US"
"천궁","10K+","August 3, 2026 at 3:30:00 PM UTC+9","August 4, 2026 at 10:10:00 AM UTC+9","천궁","https://trends.google.com/trends/explore?q=%EC%B2%9C%EA%B6%81&geo=KR&hl=en-US"
"김다예","5K+","August 3, 2026 at 5:30:00 AM UTC+9","August 4, 2026 at 10:00:00 AM UTC+9","김다예","https://trends.google.com/trends/explore?q=%EA%B9%80%EB%8B%A4%EC%98%88&geo=KR&hl=en-US"
"농업","1K+","August 4, 2026 at 2:50:00 AM UTC+9",,"농업","https://trends.google.com/trends/explore?q=%EB%86%8D%EC%97%85&geo=KR&hl=en-US"
"땅집고","20K+","August 3, 2026 at 10:30:00 AM UTC+9","August 4, 2026 at 10:10:00 AM UTC+9","땅집고","https://trends.google.com/trends/explore?q=%EB%95%85%EC%A7%91%EA%B3%A0&geo=KR&hl=en-US"
"인터 마이애미 cf","1K+","August 3, 2026 at 10:40:00 PM UTC+9",,"인터 마이애미 cf,카세미루","https://trends.google.com/trends/explore?q=%EC%9D%B8%ED%84%B0%20%EB%A7%88%EC%9D%B4%EC%95%A0%EB%AF%B8%20cf&geo=KR&hl=en-US"
"폐지","50K+","August 4, 2026 at 6:50:00 AM UTC+9",,"폐지,박지원,보완수사권,보완수사권 폐지,경찰,형사소송법,거부권,구자현,만평,이언주,검찰,이소영,이소영 의원,이주영,본회의,곽상언 의원,필리버스터,공소기각","https://trends.google.com/trends/explore?q=%ED%8F%90%EC%A7%80&geo=KR&hl=en-US"
"삼성 대 롯데","50K+","July 31, 2026 at 5:30:00 PM UTC+9","August 4, 2026 at 7:50:00 AM UTC+9","삼성 대 롯데","https://trends.google.com/trends/explore?q=%EC%82%BC%EC%84%B1%20%EB%8C%80%20%EB%A1%AF%EB%8D%B0&geo=KR&hl=en-US"
"복도","100K+","August 1, 2026 at 12:00:00 AM UTC+9","August 3, 2026 at 11:00:00 AM UTC+9","복도","https://trends.google.com/trends/explore?q=%EB%B3%B5%EB%8F%84&geo=KR&hl=en-US"
"매그니피센트 7","5K+","August 4, 2026 at 9:20:00 AM UTC+9",,"매그니피센트 7,넷플릭스","https://trends.google.com/trends/explore?q=%EB%A7%A4%EA%B7%B8%EB%8B%88%ED%94%BC%EC%84%BC%ED%8A%B8%207&geo=KR&hl=en-US"
"화암동굴","200+","August 4, 2026 at 9:30:00 AM UTC+9",,"화암동굴","https://trends.google.com/trends/explore?q=%ED%99%94%EC%95%94%EB%8F%99%EA%B5%B4&geo=KR&hl=en-US"
"반포 디에이치 클래스트","500+","August 4, 2026 at 6:40:00 AM UTC+9",,"반포 디에이치 클래스트","https://trends.google.com/trends/explore?q=%EB%B0%98%ED%8F%AC%20%EB%94%94%EC%97%90%EC%9D%B4%EC%B9%98%20%ED%81%B4%EB%9E%98%EC%8A%A4%ED%8A%B8&geo=KR&hl=en-US"
"평촌신도시","500+","August 3, 2026 at 8:50:00 PM UTC+9",,"평촌신도시","https://trends.google.com/trends/explore?q=%ED%8F%89%EC%B4%8C%EC%8B%A0%EB%8F%84%EC%8B%9C&geo=KR&hl=en-US"
"민생지원금","10K+","August 4, 2026 at 5:50:00 AM UTC+9","August 4, 2026 at 8:40:00 AM UTC+9","민생지원금","https://trends.google.com/trends/explore?q=%EB%AF%BC%EC%83%9D%EC%A7%80%EC%9B%90%EA%B8%88&geo=KR&hl=en-US"
"히 샬리 송","50K+","August 3, 2026 at 4:00:00 AM UTC+9","August 4, 2026 at 10:30:00 AM UTC+9","히 샬리 송,첼시 대 토트넘,히샬리송,첼시 토트넘,토트넘 첼시,토트넘","https://trends.google.com/trends/explore?q=%ED%9E%88%20%EC%83%AC%EB%A6%AC%20%EC%86%A1&geo=KR&hl=en-US"
"우리은행","5K+","August 3, 2026 at 6:20:00 PM UTC+9","August 4, 2026 at 10:00:00 AM UTC+9","우리은행","https://trends.google.com/trends/explore?q=%EC%9A%B0%EB%A6%AC%EC%9D%80%ED%96%89&geo=KR&hl=en-US"
"미국 상품거래위원회","500+","August 4, 2026 at 7:10:00 AM UTC+9",,"미국 상품거래위원회","https://trends.google.com/trends/explore?q=%EB%AF%B8%EA%B5%AD%20%EC%83%81%ED%92%88%EA%B1%B0%EB%9E%98%EC%9C%84%EC%9B%90%ED%9A%8C&geo=KR&hl=en-US"
"학교 폭력","500+","August 4, 2026 at 6:40:00 AM UTC+9",,"학교 폭력","https://trends.google.com/trends/explore?q=%ED%95%99%EA%B5%90%20%ED%8F%AD%EB%A0%A5&geo=KR&hl=en-US"
"김세인","50K+","July 30, 2026 at 9:40:00 PM UTC+9","August 4, 2026 at 7:50:00 AM UTC+9","김세인,배우","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%84%B8%EC%9D%B8&geo=KR&hl=en-US"
"폴더 블 스마트 폰","50K+","August 1, 2026 at 6:30:00 AM UTC+9","August 3, 2026 at 5:00:00 PM UTC+9","폴더 블 스마트 폰,스마트폰,삼성 갤럭시 z 플립,폴더블 스마트폰","https://trends.google.com/trends/explore?q=%ED%8F%B4%EB%8D%94%20%EB%B8%94%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%ED%8F%B0&geo=KR&hl=en-US"
"박성광","10K+","August 3, 2026 at 5:00:00 AM UTC+9","August 4, 2026 at 9:10:00 AM UTC+9","박성광,이솔이,스타뉴스","https://trends.google.com/trends/explore?q=%EB%B0%95%EC%84%B1%EA%B4%91&geo=KR&hl=en-US"
"김수현","5K+","August 3, 2026 at 2:00:00 PM UTC+9","August 4, 2026 at 9:40:00 AM UTC+9","김수현,아동복지법","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%88%98%ED%98%84&geo=KR&hl=en-US"
"신생아","20K+","August 2, 2026 at 9:10:00 PM UTC+9","August 4, 2026 at 8:50:00 AM UTC+9","신생아,의료과실","https://trends.google.com/trends/explore?q=%EC%8B%A0%EC%83%9D%EC%95%84&geo=KR&hl=en-US"
"신지","10K+","August 3, 2026 at 6:40:00 PM UTC+9","August 4, 2026 at 9:30:00 AM UTC+9","신지","https://trends.google.com/trends/explore?q=%EC%8B%A0%EC%A7%80&geo=KR&hl=en-US"
"이강인","5K+","August 4, 2026 at 7:30:00 AM UTC+9","August 4, 2026 at 9:10:00 AM UTC+9","이강인","https://trends.google.com/trends/explore?q=%EC%9D%B4%EA%B0%95%EC%9D%B8&geo=KR&hl=en-US"
"두부","20K+","July 30, 2026 at 7:10:00 PM UTC+9","August 3, 2026 at 11:50:00 AM UTC+9","두부","https://trends.google.com/trends/explore?q=%EB%91%90%EB%B6%80&geo=KR&hl=en-US"
"국민연금공단","10K+","August 4, 2026 at 4:40:00 AM UTC+9","August 4, 2026 at 10:10:00 AM UTC+9","국민연금공단,연기금","https://trends.google.com/trends/explore?q=%EA%B5%AD%EB%AF%BC%EC%97%B0%EA%B8%88%EA%B3%B5%EB%8B%A8&geo=KR&hl=en-US"
"팔란티어 주가","1K+","August 4, 2026 at 5:40:00 AM UTC+9",,"팔란티어 주가,팔란티어","https://trends.google.com/trends/explore?q=%ED%8C%94%EB%9E%80%ED%8B%B0%EC%96%B4%20%EC%A3%BC%EA%B0%80&geo=KR&hl=en-US"
"한국은행 기준금리","2K+","August 3, 2026 at 2:20:00 PM UTC+9","August 4, 2026 at 10:00:00 AM UTC+9","한국은행 기준금리","https://trends.google.com/trends/explore?q=%ED%95%9C%EA%B5%AD%EC%9D%80%ED%96%89%20%EA%B8%B0%EC%A4%80%EA%B8%88%EB%A6%AC&geo=KR&hl=en-US"
"문근영 정평","200K+","July 29, 2026 at 2:30:00 PM UTC+9","August 1, 2026 at 9:40:00 AM UTC+9","문근영 정평,문근영,정평,문근영 결혼,배우 정평,정평 배우,문근영 남편,뮤지컬배우 정평,뮤지컬 배우 정평","https://trends.google.com/trends/explore?q=%EB%AC%B8%EA%B7%BC%EC%98%81%20%EC%A0%95%ED%8F%89&geo=KR&hl=en-US"
"다슬기","10K+","August 3, 2026 at 8:40:00 AM UTC+9","August 4, 2026 at 10:50:00 AM UTC+9","다슬기","https://trends.google.com/trends/explore?q=%EB%8B%A4%EC%8A%AC%EA%B8%B0&geo=KR&hl=en-US"
"이범호","10K+","August 3, 2026 at 9:50:00 AM UTC+9","August 4, 2026 at 7:20:00 AM UTC+9","이범호,김도영","https://trends.google.com/trends/explore?q=%EC%9D%B4%EB%B2%94%ED%98%B8&geo=KR&hl=en-US"
"한화 대 kt","50K+","July 31, 2026 at 5:30:00 PM UTC+9","August 3, 2026 at 10:30:00 AM UTC+9","한화 대 kt,짐머맨","https://trends.google.com/trends/explore?q=%ED%95%9C%ED%99%94%20%EB%8C%80%20kt&geo=KR&hl=en-US"
"자 오즈 민","50K+","August 1, 2026 at 10:50:00 AM UTC+9","August 3, 2026 at 2:20:00 PM UTC+9","자 오즈 민,자오즈민,안재형","https://trends.google.com/trends/explore?q=%EC%9E%90%20%EC%98%A4%EC%A6%88%20%EB%AF%BC&geo=KR&hl=en-US"
"경주기행","20K+","August 2, 2026 at 11:10:00 AM UTC+9","August 3, 2026 at 7:20:00 PM UTC+9","경주기행","https://trends.google.com/trends/explore?q=%EA%B2%BD%EC%A3%BC%EA%B8%B0%ED%96%89&geo=KR&hl=en-US"
"산악인","10K+","August 2, 2026 at 7:40:00 PM UTC+9","August 4, 2026 at 7:40:00 AM UTC+9","산악인,브로드 피크","https://trends.google.com/trends/explore?q=%EC%82%B0%EC%95%85%EC%9D%B8&geo=KR&hl=en-US"
"lg 대 두산","20K+","July 31, 2026 at 5:30:00 PM UTC+9","August 3, 2026 at 10:10:00 AM UTC+9","lg 대 두산","https://trends.google.com/trends/explore?q=lg%20%EB%8C%80%20%EB%91%90%EC%82%B0&geo=KR&hl=en-US"
"수영","10K+","August 2, 2026 at 11:40:00 PM UTC+9","August 4, 2026 at 9:20:00 AM UTC+9","수영,정경호","https://trends.google.com/trends/explore?q=%EC%88%98%EC%98%81&geo=KR&hl=en-US"
"박성재","50K+","July 31, 2026 at 7:30:00 PM UTC+9","August 3, 2026 at 6:40:00 AM UTC+9","박성재","https://trends.google.com/trends/explore?q=%EB%B0%95%EC%84%B1%EC%9E%AC&geo=KR&hl=en-US"
"ssg 대 키움","20K+","July 31, 2026 at 5:40:00 PM UTC+9","August 3, 2026 at 7:00:00 AM UTC+9","ssg 대 키움,맷 데이비슨","https://trends.google.com/trends/explore?q=ssg%20%EB%8C%80%20%ED%82%A4%EC%9B%80&geo=KR&hl=en-US"
"박지윤","2K+","August 4, 2026 at 6:30:00 AM UTC+9","August 4, 2026 at 10:10:00 AM UTC+9","박지윤","https://trends.google.com/trends/explore?q=%EB%B0%95%EC%A7%80%EC%9C%A4&geo=KR&hl=en-US"
"변 요한","50K+","July 31, 2026 at 9:30:00 PM UTC+9","August 2, 2026 at 5:50:00 PM UTC+9","변 요한,변요한","https://trends.google.com/trends/explore?q=%EB%B3%80%20%EC%9A%94%ED%95%9C&geo=KR&hl=en-US"
"1 군단장","20K+","August 3, 2026 at 3:20:00 PM UTC+9","August 4, 2026 at 9:40:00 AM UTC+9","1 군단장,미군,한기성,1군단장,1군단,한기성 중장,훈련,두루미 발령,무인기","https://trends.google.com/trends/explore?q=1%20%EA%B5%B0%EB%8B%A8%EC%9E%A5&geo=KR&hl=en-US"
"맨체스터 유나이티드 fc","2K+","August 4, 2026 at 6:20:00 AM UTC+9","August 4, 2026 at 10:00:00 AM UTC+9","맨체스터 유나이티드 fc,제이든 산초,산초","https://trends.google.com/trends/explore?q=%EB%A7%A8%EC%B2%B4%EC%8A%A4%ED%84%B0%20%EC%9C%A0%EB%82%98%EC%9D%B4%ED%8B%B0%EB%93%9C%20fc&geo=KR&hl=en-US"
"아틀레티코 마드리드","50K+","August 1, 2026 at 4:40:00 AM UTC+9","August 2, 2026 at 2:20:00 PM UTC+9","아틀레티코 마드리드,안정환,파리 생제르맹 fc,앙투안 그리즈만,이적 시장","https://trends.google.com/trends/explore?q=%EC%95%84%ED%8B%80%EB%A0%88%ED%8B%B0%EC%BD%94%20%EB%A7%88%EB%93%9C%EB%A6%AC%EB%93%9C&geo=KR&hl=en-US"
"나는 solo, 그 후 사랑은 계속된다","20K+","July 31, 2026 at 7:40:00 AM UTC+9","August 4, 2026 at 10:30:00 AM UTC+9","나는 solo, 그 후 사랑은 계속된다,나솔사계","https://trends.google.com/trends/explore?q=%EB%82%98%EB%8A%94%20solo%2C%20%EA%B7%B8%20%ED%9B%84%20%EC%82%AC%EB%9E%91%EC%9D%80%20%EA%B3%84%EC%86%8D%EB%90%9C%EB%8B%A4&geo=KR&hl=en-US"
"반도체 산업","5K+","August 3, 2026 at 3:00:00 PM UTC+9","August 4, 2026 at 9:00:00 AM UTC+9","반도체 산업,반도체산업","https://trends.google.com/trends/explore?q=%EB%B0%98%EB%8F%84%EC%B2%B4%20%EC%82%B0%EC%97%85&geo=KR&hl=en-US"
"전현무","2K+","August 3, 2026 at 9:10:00 PM UTC+9","August 4, 2026 at 9:10:00 AM UTC+9","전현무","https://trends.google.com/trends/explore?q=%EC%A0%84%ED%98%84%EB%AC%B4&geo=KR&hl=en-US"
"보이콧","50K+","July 31, 2026 at 10:40:00 AM UTC+9","August 2, 2026 at 3:10:00 PM UTC+9","보이콧,bts 그래미 보이콧,방탄소년단,그래미,그래미 어워드,그래미 보이콧,방탄 그래미","https://trends.google.com/trends/explore?q=%EB%B3%B4%EC%9D%B4%EC%BD%A7&geo=KR&hl=en-US"
"호텔","20K+","August 1, 2026 at 3:10:00 PM UTC+9","August 3, 2026 at 11:30:00 AM UTC+9","호텔","https://trends.google.com/trends/explore?q=%ED%98%B8%ED%85%94&geo=KR&hl=en-US"
"대피소","100K+","August 3, 2026 at 11:00:00 PM UTC+9","August 4, 2026 at 9:20:00 AM UTC+9","대피소,지진,구마모토 지진,구마모토현,일본지진,원피스,부산 지진,규슈,구름,구마모토 이온몰,폭발,일본,쿠마모토,이온몰,규슈 지진,일본 지진 실시간,일본 구마모토,쿠마모토 지진,지진동,지진 실시간,부산지진,일본 구마모토 지진,한국 지진,창원 지진,구마모토 쇼핑몰,구마모토지진,구마모토성,티웨이","https://trends.google.com/trends/explore?q=%EB%8C%80%ED%94%BC%EC%86%8C&geo=KR&hl=en-US"
"강득구","5K+","August 3, 2026 at 7:20:00 PM UTC+9","August 4, 2026 at 9:20:00 AM UTC+9","강득구,최민희,서미화","https://trends.google.com/trends/explore?q=%EA%B0%95%EB%93%9D%EA%B5%AC&geo=KR&hl=en-US"
"김재중","20K+","July 31, 2026 at 5:20:00 AM UTC+9","August 3, 2026 at 8:10:00 AM UTC+9","김재중","https://trends.google.com/trends/explore?q=%EA%B9%80%EC%9E%AC%EC%A4%91&geo=KR&hl=en-US"
